Commonname(query)	ORF(query)	Description(query)	Alias(query)	Commonname(array)	ORF(array)	Description(array)	Alias(array)	SGA epsilon scores	P-value
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	CPT1	YNL130C	Cholinephosphotransferase; required for phosphatidylcholine biosynthesis and for inositol-dependent regulation of EPT1 transcription; CPT1 has a paralog, EPT1, that arose from the whole genome duplication		-0.56	9.503E-025
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	HPF1	YOL155C	Haze-protective mannoprotein that reduces the particle size of aggregated proteins in white wines		-0.425	0.000000000998
HPF1	YOL155C	Haze-protective mannoprotein that reduces the particle size of aggregated proteins in white wines		NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	-0.425	0.000000000998
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	ATG3	YNR007C	E2-like enzyme involved in autophagy and the cytoplasm-to-vacuole targeting (Cvt) pathway; plays a role in formation of Atg8p-phosphatidylethanolamine conjugates, which are involved in membrane dynamics during autophagy and Cvt; interaction with Atg8p is regulated by its acetylation by Esa1p (catalytic subunit of NuA4 histone acetyltransferase complex) while attenuation of Atg3 acetylation is mediated by histone deacetylase Rpd3p	AUT1|APG3	-0.382	9.225E-040
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	SNF11	YDR073W	Subunit of the SWI/SNF chromatin remodeling complex; involved in transcriptional regulation; interacts with a highly conserved 40-residue sequence of Snf2p; relocates to the cytosol under hypoxic conditions		-0.351	2.202E-015
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1		YCR061W	Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern; induced by treatment with 8-methoxypsoralen and UVA irradiation	YCR062W	-0.349	0.0003232
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	PEX30	YLR324W	Peroxisomal integral membrane protein; involved in negative regulation of peroxisome number; partially functionally redundant with Pex31p; genetic interactions suggest action at a step downstream of steps mediated by Pex28p and Pex29p; PEX30 has a paralog, PEX31, that arose from the whole genome duplication		-0.342	1.856E-094
CHK1	YBR274W	Serine/threonine kinase and DNA damage checkpoint effector, mediates cell cycle arrest via phosphorylation of Pds1p; phosphorylated by checkpoint signal transducer Mec1p; homolog of S. pombe and mammalian Chk1 checkpoint kinase		NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	-0.33	0.00008339
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	CHK1	YBR274W	Serine/threonine kinase and DNA damage checkpoint effector, mediates cell cycle arrest via phosphorylation of Pds1p; phosphorylated by checkpoint signal transducer Mec1p; homolog of S. pombe and mammalian Chk1 checkpoint kinase		-0.33	0.00008339
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	HMX1	YLR205C	ER localized heme oxygenase, involved in heme degradation during iron starvation and in the oxidative stress response; expression is regulated by AFT1 and oxidative stress; relocates to the perinuclear region in the presence of oxidants		-0.329	0.00502
